"Category","Unique"
"09/05",0
"09/06",0
"09/07",0
"09/08",0
"09/09",0
"09/10",0
"09/11",0
"09/12",0
"09/13",0
"09/14",0
"09/15",1
"09/16",1
"09/17",1
"09/18",0
