"Category","Total"
"09/05",0
"09/06",0
"09/07",0
"09/08",0
"09/09",0
"09/10",0
"09/11",0
"09/12",0
"09/13",0
"09/14",0
"09/15",48
"09/16",62
"09/17",3
"09/18",0
